balance,day,duration,age
71,6,678,39
52,6,182,40
292,6,162,36
424,6,27,40
109,6,699,55
1044,6,43,38
983,6,97,61
869,6,1677,41
668,6,283,57
964,6,323,48
301,6,82,77
140,6,310,35
1877,6,185,54
1127,6,47,37
871,6,145,56
767,6,204,40
0,6,187,40
209,6,30,54
0,6,472,55
110,6,448,55
-76,6,264,52
178,6,169,55
-66,6,288,33
0,6,176,52
1,6,215,33
0,6,337,53
5345,6,278,46
-209,6,188,44
0,6,174,48
42,6,226,50
41,6,190,34
-99,6,111,38
17,6,164,42
276,6,157,32
-170,6,46,58
230,6,374,31
9,6,349,19
946,6,325,41
1297,6,233,31
-331,6,531,52
44,6,153,42
15,6,80,41
712,6,232,30
5435,6,118,38
507,6,190,32
387,6,918,52
0,6,238,48
1716,6,82,36
167,6,198,45
40,6,160,34
148,6,211,36
17,6,120,34
1011,6,136,61
1527,6,269,54
744,6,157,50
484,6,128,43
0,6,211,47
136,6,267,45
1335,6,371,57
517,6,288,27
459,6,221,49
549,6,427,43
83,6,310,40
213,6,158,32
203,6,604,58
518,6,198,34
3877,6,145,46
1236,6,247,29
756,6,179,52
157,6,73,45
-66,6,263,26
245,6,13,40
-144,6,79,41
71,6,416,47
505,6,162,27
249,6,129,27
0,6,150,48
11,6,43,49
639,6,191,35
124,6,26,47
82,6,250,54
107,6,146,39
473,6,416,28
372,6,121,54
46,6,114,34
34,6,289,63
935,6,225,42
-10,6,123,43
-106,6,130,37
471,6,161,55
778,6,149,43
170,6,268,41
315,6,259,47
3165,6,26,34
131,6,153,28
204,6,424,36
83,6,179,50
0,6,97,35
5431,6,383,40
1759,6,440,26
-125,6,23,36
0,6,195,59
5090,6,1297,28
573,6,87,46
1602,6,427,50
-137,6,189,53
0,6,195,81
193,6,179,35
195,6,179,58
288,6,69,44
19,6,105,38
25,6,266,49
216,6,524,33
190,6,96,29
99,6,155,28
2298,6,162,31
17,6,352,33
0,6,76,52
0,6,154,43
840,6,310,32
358,6,390,36
0,6,369,41
-325,6,112,43
-15,6,341,45
581,6,79,39
4070,6,140,41
74,6,315,31
141,6,262,37
89,6,174,28
0,6,138,47
450,6,526,37
310,6,135,60
0,6,36,43
384,6,1906,38
395,6,219,37
-118,6,147,37
5,6,407,56
50,6,121,51
285,6,209,39
15,6,92,49
653,6,208,51
918,6,193,43
243,6,144,32
405,6,65,29
1328,6,339,48
255,6,285,55
3397,6,231,53
2106,6,168,47
2877,6,278,39
60,6,389,31
2226,6,158,39
2880,6,145,40
-5,6,78,40
147,6,142,48
7,6,87,33
109,6,147,40
-119,6,289,59
484,6,703,30
1852,6,170,31
533,6,802,35
21,6,381,54
2434,6,218,34
90,6,57,32
4246,6,304,56
395,6,241,32
15,6,230,42
85,6,262,33
-184,6,392,52
660,6,201,52
-183,6,145,52
1144,6,252,30
1,6,235,44
69,6,235,35
220,6,328,55
332,6,116,33
240,6,246,37
0,6,293,42
0,6,37,43
898,6,132,38
123,6,530,37
252,6,175,31
65,6,524,41
-366,6,29,41
209,6,311,29
221,6,211,38
4,6,312,44
104,6,412,39
312,6,392,28
-349,6,191,33
4,6,284,41
-322,6,144,40
-150,6,328,29
1349,6,100,38
281,6,226,32
1259,6,507,45
101,6,392,33
848,6,684,34
89,6,333,41
140,6,311,41
148,6,128,35
200,6,322,40
46,6,202,60
201,6,92,47
530,6,739,46
0,6,273,31
1,6,260,49
43,6,268,29
-173,6,396,31
389,6,262,38
215,6,308,37
-131,6,467,35
783,6,320,31
0,6,160,41
80,6,245,46
105,6,189,40
182,6,477,29
82,6,310,49
0,6,65,42
510,6,196,54
242,6,221,40
244,6,197,53
92,6,221,49
0,6,64,40
948,6,75,29
23,6,400,36
710,6,378,37
1205,6,118,39
368,6,1597,36
1631,6,346,44
6,6,60,40
26,6,276,49
-48,6,152,30
2142,6,251,57
77,6,390,24
401,6,306,46
21,6,189,33
0,6,125,43
-497,6,234,43
369,6,79,40
78,6,13,44
226,6,283,35
503,6,109,47
372,6,132,33
0,6,144,31
0,6,121,40
125,6,95,36
4,6,31,56
419,6,112,40
322,6,87,41
303,6,593,53
607,6,99,39
579,6,198,44
3047,6,285,38
83,6,190,54
68,6,172,58
58,6,213,52
251,6,178,28
688,6,174,36
364,6,631,60
55,6,176,42
101,6,32,42
105,6,1529,44
325,6,254,51
198,6,200,49
209,6,135,47
183,6,112,37
105,6,314,34
109,6,597,35
376,6,207,35
-7,6,410,40
0,6,160,55
143,6,42,55
550,6,55,35
162,6,155,57
115,6,336,53
512,6,233,41
807,6,211,57
248,6,88,45
1211,6,208,43
7,6,305,56
281,6,206,31
88,6,128,37
32,6,122,30
115,6,66,30
254,6,66,54
144,6,164,36
383,6,343,55
569,6,126,37
0,6,59,38
3754,6,249,48
6920,6,406,55
307,6,250,59
-421,6,183,37
60,6,190,33
67,6,220,44
402,6,153,57
800,6,95,30
239,6,191,42
421,6,216,51
161,7,89,44
289,7,51,46
110,7,169,29
245,7,148,39
0,7,132,42
156,7,117,50
0,7,275,42
20,7,124,39
92,7,118,55
89,7,479,46
166,7,285,42
103,7,35,45
-454,7,322,43
445,7,202,42
4,7,172,30
1001,7,201,47
-69,7,216,51
42,7,195,38
1617,7,96,57
221,7,720,42
210,7,188,32
0,7,70,46
185,7,141,29
836,7,106,59
301,7,395,32
503,7,629,44
407,7,502,40
53,7,446,31
2303,7,241,46
144,7,131,43
205,7,312,34
305,7,275,39
251,7,120,30
0,7,333,56
